Date,USGG2YR Index
9/28/1979,10.109
10/1/1979,10.149
10/2/1979,10.019
10/3/1979,10.149
10/4/1979,10.349
10/5/1979,10.399
10/9/1979,11.129
10/10/1979,11.409
10/11/1979,11.269
10/12/1979,11.179
10/15/1979,11.399
10/16/1979,11.399
10/17/1979,11.409
10/18/1979,11.759
10/19/1979,12.159
10/22/1979,12.439
10/23/1979,12.639
10/24/1979,12.529
10/25/1979,12.599
10/26/1979,12.059
10/29/1979,12.199
10/30/1979,12.129
10/31/1979,12.069
11/5/1979,12.159
11/7/1979,12.369
11/8/1979,12.299
11/9/1979,11.789
11/13/1979,11.649
11/14/1979,11.829
11/15/1979,11.689
11/16/1979,11.979
11/19/1979,12.089
11/20/1979,12.129
11/21/1979,12.179
11/23/1979,11.699
11/26/1979,11.449
11/27/1979,11.119
11/28/1979,11.239
11/29/1979,11.239
11/30/1979,11.339
12/3/1979,11.429
12/4/1979,11.309
12/5/1979,11.219
12/6/1979,11.089
12/7/1979,11.219
12/10/1979,11.259
12/11/1979,11.609
12/12/1979,11.359
12/13/1979,11.679
12/14/1979,11.479
12/17/1979,11.459
12/18/1979,11.319
12/19/1979,11.389
12/20/1979,11.409
12/21/1979,11.429
12/24/1979,11.449
12/26/1979,11.439
12/27/1979,11.399
12/28/1979,11.309
12/31/1979,11.239
1/2/1980,11.399
1/3/1980,11.459
1/4/1980,11.479
1/7/1980,11.359
1/8/1980,11.269
1/9/1980,11.249
1/10/1980,11.189
1/11/1980,11.339
1/14/1980,11.849
1/15/1980,11.749
1/16/1980,11.659
1/17/1980,11.749
1/18/1980,11.889
1/21/1980,11.589
1/22/1980,11.569
1/23/1980,11.539
1/24/1980,11.689
1/25/1980,11.829
1/28/1980,11.909
1/29/1980,12.049
1/30/1980,11.969
1/31/1980,11.879
2/1/1980,12.049
2/4/1980,12.129
2/5/1980,12.499
2/6/1980,12.429
2/7/1980,12.219
2/8/1980,12.319
2/11/1980,12.609
2/13/1980,12.529
2/14/1980,12.609
2/15/1980,13.139
2/19/1980,13.969
2/20/1980,14.039
2/21/1980,14.519
2/22/1980,14.529
2/25/1980,14.629
2/26/1980,14.919
2/27/1980,14.829
2/28/1980,14.419
2/29/1980,14.739
3/3/1980,14.839
3/4/1980,14.869
3/5/1980,14.999
3/6/1980,15.279
3/7/1980,15.209
3/10/1980,14.719
3/11/1980,14.439
3/12/1980,14.749
3/13/1980,14.699
3/14/1980,14.809
3/17/1980,14.829
3/18/1980,14.429
3/19/1980,14.339
3/20/1980,15.039
3/21/1980,15.029
3/24/1980,15.369
3/25/1980,15.199
3/26/1980,15.269
3/27/1980,15.119
3/28/1980,14.899
3/31/1980,14.639
4/1/1980,14.599
4/2/1980,14.529
4/3/1980,14.519
4/7/1980,13.859
4/8/1980,13.899
4/9/1980,13.549
4/10/1980,13.579
4/11/1980,13.229
4/14/1980,12.969
4/15/1980,12.729
4/16/1980,11.979
4/17/1980,11.979
4/18/1980,11.769
4/21/1980,11.569
4/22/1980,11.439
4/23/1980,11.389
4/24/1980,11.429
4/25/1980,11.399
4/28/1980,10.749
4/29/1980,10.749
4/30/1980,10.819
5/1/1980,10.709
5/2/1980,10.049
5/5/1980,9.859
5/6/1980,9.409
5/7/1980,9.419
5/8/1980,9.489
5/9/1980,9.859
5/12/1980,9.529
5/13/1980,9.389
5/14/1980,9.279
5/15/1980,9.489
5/16/1980,9.769
5/19/1980,9.789
5/20/1980,9.269
5/21/1980,9.149
5/22/1980,9.139
5/23/1980,8.739
5/27/1980,8.829
5/28/1980,9.049
5/29/1980,9.169
5/30/1980,9.259
6/2/1980,9.349
6/3/1980,9.209
6/4/1980,9.069
6/5/1980,8.979
6/6/1980,8.729
6/9/1980,8.619
6/10/1980,8.799
6/11/1980,8.659
6/12/1980,8.469
6/13/1980,8.399
6/16/1980,8.389
6/17/1980,8.369
6/18/1980,8.589
6/19/1980,8.689
6/20/1980,8.439
6/23/1980,8.599
6/24/1980,8.649
6/25/1980,8.739
6/26/1980,8.809
6/27/1980,8.949
6/30/1980,8.979
7/1/1980,9.019
7/2/1980,9.019
7/3/1980,8.779
7/7/1980,8.949
7/8/1980,8.809
7/9/1980,8.839
7/10/1980,8.909
7/11/1980,8.979
7/14/1980,9.169
7/15/1980,8.989
7/16/1980,8.799
7/17/1980,8.899
7/18/1980,8.939
7/21/1980,8.939
7/22/1980,9.029
7/23/1980,8.959
7/24/1980,9.059
7/25/1980,9.159
7/28/1980,9.249
7/29/1980,9.289
7/30/1980,9.339
7/31/1980,9.729
8/1/1980,9.789
8/4/1980,9.669
8/5/1980,9.679
8/6/1980,9.699
8/7/1980,9.679
8/8/1980,9.819
8/11/1980,10.079
8/12/1980,10.039
8/13/1980,10.039
8/14/1980,10.079
8/15/1980,10.129
8/18/1980,10.779
8/19/1980,10.919
8/20/1980,11.119
8/21/1980,11.279
8/22/1980,11.099
8/25/1980,11.349
8/26/1980,11.349
8/27/1980,11.529
8/28/1980,11.779
8/29/1980,11.369
9/2/1980,11.059
9/3/1980,10.739
9/4/1980,10.779
9/5/1980,10.899
9/8/1980,11.119
9/9/1980,11.139
9/10/1980,11.039
9/11/1980,11.709
9/12/1980,11.409
9/15/1980,11.799
9/16/1980,11.689
9/17/1980,11.799
9/18/1980,11.849
9/19/1980,11.599
9/22/1980,12.009
9/23/1980,12.009
9/24/1980,11.989
9/25/1980,12.119
9/26/1980,12.409
9/29/1980,12.389
9/30/1980,12.139
10/1/1980,12.029
10/2/1980,12.069
10/3/1980,11.519
10/6/1980,11.419
10/7/1980,11.449
10/8/1980,11.699
10/9/1980,11.609
10/10/1980,11.649
10/14/1980,11.679
10/15/1980,11.589
10/16/1980,11.699
10/17/1980,11.919
10/20/1980,12.009
10/21/1980,12.119
10/22/1980,12.319
10/23/1980,12.319
10/24/1980,12.259
10/27/1980,12.739
10/28/1980,12.919
10/29/1980,12.989
10/30/1980,13.049
10/31/1980,13.089
11/3/1980,13.239
11/5/1980,13.389
11/6/1980,13.579
11/7/1980,13.369
11/10/1980,13.299
11/12/1980,12.869
11/13/1980,12.899
11/14/1980,13.259
11/17/1980,13.719
11/18/1980,13.479
11/19/1980,13.379
11/20/1980,13.539
11/21/1980,13.839
11/24/1980,13.889
11/25/1980,13.999
11/26/1980,14.009
11/28/1980,14.139
12/1/1980,14.259
12/2/1980,14.259
12/3/1980,14.049
12/4/1980,14.159
12/5/1980,14.349
12/8/1980,14.459
12/9/1980,14.549
12/10/1980,14.599
12/11/1980,14.979
12/12/1980,14.749
12/15/1980,14.839
12/16/1980,15.129
12/17/1980,14.989
12/18/1980,14.899
12/19/1980,14.059
12/22/1980,13.249
12/23/1980,13.049
12/24/1980,13.379
12/26/1980,12.959
12/29/1980,12.879
12/30/1980,12.979
12/31/1980,13.069
1/2/1981,13.109
1/5/1981,12.289
1/6/1981,12.429
1/7/1981,12.929
1/8/1981,13.099
1/9/1981,13.539
1/12/1981,13.179
1/13/1981,13.309
1/14/1981,12.959
1/15/1981,13.259
1/16/1981,13.089
1/19/1981,13.629
1/20/1981,13.489
1/21/1981,13.799
1/22/1981,13.839
1/23/1981,13.749
1/26/1981,13.409
1/27/1981,13.409
1/28/1981,13.489
1/29/1981,13.429
1/30/1981,13.269
2/2/1981,13.519
2/3/1981,13.709
2/4/1981,13.639
2/5/1981,13.639
2/6/1981,13.899
2/9/1981,13.979
2/10/1981,14.109
2/11/1981,14.349
2/13/1981,14.459
2/17/1981,13.979
2/18/1981,13.989
2/19/1981,13.729
2/20/1981,13.559
2/23/1981,13.929
2/24/1981,14.009
2/25/1981,14.009
2/26/1981,14.109
2/27/1981,14.089
3/2/1981,14.409
3/3/1981,14.139
3/4/1981,14.219
3/5/1981,14.179
3/6/1981,13.919
3/9/1981,13.849
3/10/1981,13.749
3/11/1981,13.799
3/12/1981,13.709
3/13/1981,13.459
3/16/1981,13.309
3/17/1981,13.209
3/18/1981,12.759
3/19/1981,12.849
3/20/1981,12.889
3/23/1981,13.369
3/24/1981,13.559
3/25/1981,13.519
3/26/1981,13.629
3/27/1981,13.679
3/30/1981,13.329
3/31/1981,13.179
4/1/1981,13.199
4/2/1981,13.409
4/3/1981,13.579
4/6/1981,14.139
4/7/1981,13.709
4/8/1981,13.899
4/9/1981,13.879
4/10/1981,13.909
4/13/1981,14.059
4/14/1981,13.929
4/15/1981,14.199
4/16/1981,14.239
4/20/1981,14.339
4/21/1981,14.349
4/22/1981,14.419
4/23/1981,14.519
4/24/1981,14.669
4/27/1981,14.679
4/28/1981,14.659
4/29/1981,14.679
4/30/1981,14.849
5/1/1981,14.729
5/4/1981,15.379
5/5/1981,15.949
5/6/1981,15.839
5/7/1981,15.699
5/8/1981,15.699
5/11/1981,15.749
5/12/1981,15.939
5/13/1981,15.949
5/14/1981,15.809
5/15/1981,15.559
5/18/1981,15.199
5/19/1981,15.479
5/20/1981,15.639
5/21/1981,15.759
5/22/1981,15.489
5/26/1981,15.099
5/27/1981,15.149
5/28/1981,14.799
5/29/1981,14.409
6/1/1981,14.479
6/2/1981,14.669
6/3/1981,14.659
6/4/1981,14.769
6/5/1981,14.739
6/8/1981,14.319
6/9/1981,14.449
6/10/1981,14.319
6/11/1981,14.409
6/12/1981,14.449
6/15/1981,14.039
6/16/1981,14.119
6/17/1981,14.379
6/18/1981,14.669
6/19/1981,14.659
6/22/1981,14.499
6/23/1981,14.599
6/24/1981,14.719
6/25/1981,14.659
6/26/1981,14.599
6/29/1981,14.489
6/30/1981,14.669
7/1/1981,14.949
7/2/1981,14.879
7/6/1981,14.689
7/7/1981,14.929
7/8/1981,15.029
7/9/1981,15.149
7/10/1981,14.889
7/13/1981,14.839
7/14/1981,15.079
